Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0001,1.2623,,-0.060664062,-0.335872396,1,0,0,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,1.2718,1.8465,2,1,0.5657,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,1.8469,2.2458,3,1,0.3984,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,2.2462,2.73,2,1,0.476,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,2.7305,3.1299,3,1,0.387,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,3.1303,3.6467,1,1,0.5078,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,3.6472,4.1297,1,1,0.4734,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,4.1303,4.8798,3,1,0.7363,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,4.88,5.3801,2,1,0.4887,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,5.3807,5.9298,4,1,0.5472,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,5.9299,6.447,1,1,0.5058,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,6.4475,6.913,3,0,0.4647,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,6.9132,7.5298,3,1,0.6136,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,7.5299,8.1136,2,1,0.5711,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,8.1141,8.6468,3,1,0.5307,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,1,Kevin T,2024-09-24_15h34.08.474,Motor_Task,2023.2.2,MacIntel,58.82352941,8.6472,9.1802,1,1,0.5248,,1,4,14,4,1,5,I,,1,,,,,,,
