Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0003,1.0383,,-0.037951389,-0.088016493,1,0,0,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,1.0571,2.0062,4,0,0.9473,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,2.0069,4.1048,4,0,2.0839,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,4.1052,4.8036,3,0,0.6869,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,4.8043,5.5551,4,0,0.7501,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,5.5556,7.7212,2,0,2.1533,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,7.7219,9.2881,2,0,1.558,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,9.2887,13.138,4,0,3.8365,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,13.1386,13.4212,3,0,0.2697,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,13.4218,14.2548,4,1,0.8199,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,14.2554,15.0881,1,1,0.8185,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,1,,2024-09-24_15h35.28.396,Motor_Task,2023.2.2,MacIntel,58.82352941,15.0888,15.6038,3,0,0.5062,,1,0,10,0,1,1,M,,2,,,,,,,
