Trigger.started,Trigger.stopped,key_resp_4.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Session,Subject,date,expName,psychopyVersion,OS,frameRate,complex_block.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,complex_block_loop.ran,trial,finger,markerPos,correctResp,new_block_loop.thisRepN,new_block_loop.thisTrialN,new_block_loop.thisN,new_block_loop.thisIndex,new_block_loop.ran,endBuffer.started,endBuffer.stopped
0.0002,114.1099,,0.241731635,-0.147168783,1,0,0,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,114.2111,115.7493,2,1,1.5281,,0,0,0,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,115.7496,116.5274,3,1,0.7725,,0,1,1,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,116.5277,117.1778,2,1,0.6496,,0,2,2,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,117.1782,117.7605,3,1,0.5815,,0,3,3,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,117.7607,118.4772,1,1,0.7077,,0,4,4,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,118.4775,119.1107,1,1,0.6319,,0,5,5,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,119.111,119.7779,3,1,0.665,,0,6,6,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,119.7782,120.3448,2,1,0.5587,,0,7,7,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,120.3451,120.9773,4,1,0.6305,,0,8,8,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,120.9775,121.5942,1,1,0.6093,,0,9,9,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,121.5944,122.211,2,1,0.6101,,1,0,10,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,122.2112,122.8439,3,1,0.6307,,1,1,11,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,122.8441,123.5606,2,1,0.7094,,1,2,12,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,123.5609,124.1946,3,1,0.6258,,1,3,13,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,124.1948,124.7445,1,1,0.5447,,1,4,14,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,124.7448,125.3608,1,1,0.6052,,1,5,15,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,125.3611,125.9606,3,1,0.59,,1,6,16,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,125.9608,126.4941,2,1,0.531,,1,7,17,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,126.4943,127.2273,4,1,0.722,,1,8,18,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,127.2276,127.8447,1,1,0.6147,,1,9,19,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,127.845,128.3612,2,1,0.5127,,2,0,20,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,128.3614,128.9606,3,1,0.5987,,2,1,21,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,128.961,129.9271,2,1,0.9648,,2,2,22,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,129.9274,130.5605,3,1,0.6311,,2,3,23,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,130.5607,131.2273,1,1,0.6556,,2,4,24,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,131.2276,131.8437,1,1,0.6153,,2,5,25,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,131.8439,132.5115,3,1,0.661,,2,6,26,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,132.5118,133.0281,2,1,0.515,,2,7,27,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,133.0284,133.5943,4,1,0.5635,,2,8,28,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,133.5945,134.1773,1,1,0.5774,,2,9,29,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,134.1776,134.7447,2,1,0.565,,3,0,30,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,134.745,135.2772,3,1,0.531,,3,1,31,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,135.2774,135.9106,2,1,0.6326,,3,2,32,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,135.911,136.4273,3,1,0.5152,,3,3,33,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,136.4277,136.961,1,1,0.533,,3,4,34,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,136.9613,137.6112,1,1,0.6471,,3,5,35,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,137.6113,138.3938,3,1,0.7796,,3,6,36,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,138.3941,139.0105,2,1,0.6162,,3,7,37,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,139.0107,139.6111,4,1,0.5942,,3,8,38,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,139.6113,140.3109,1,1,0.6973,,3,9,39,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,140.3112,140.977,2,1,0.6653,,4,0,40,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,140.9772,141.5937,3,1,0.615,,4,1,41,1,1,2,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,141.5939,142.1939,1,0,0.5985,,4,2,42,2,1,3,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,142.1941,143.2771,3,1,1.0819,,4,3,43,3,1,4,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,143.2776,144.0437,1,1,0.7656,,4,4,44,4,1,5,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,144.0439,144.6942,1,1,0.6484,,4,5,45,5,1,6,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,144.6944,145.4275,3,1,0.7323,,4,6,46,6,1,7,R,,3,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,145.4278,145.9279,2,1,0.4979,,4,7,47,7,1,8,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,145.9282,146.6441,4,1,0.714,,4,8,48,8,1,9,L,,4,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,146.6444,147.2613,1,1,0.6146,,4,9,49,9,1,10,I,,1,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,147.2617,147.844,2,1,0.5812,,5,0,50,0,1,1,M,,2,,,,,,,
,,,,,,,,1,alphastar,2024-09-24_15h32.19.988,Motor_Task,2023.2.2,MacIntel,58.13953488,147.8443,148.5272,3,1,0.6818,,5,1,51,1,1,2,R,,3,,,,,,,
